movie_name,ranking,intro,score
肖申克的救赎,1,,9.6
霸王别姬,2,,9.5
这个杀手不太冷,3,,9.4
阿甘正传,4,,9.4
美丽人生,5,,9.5
千与千寻,6,,9.2
泰坦尼克号,7,,9.2
辛德勒的名单,8,,9.4
盗梦空间,9,,9.3
机器人总动员,10,,9.3
海上钢琴师,11,,9.2
三傻大闹宝莱坞,12,,9.2
忠犬八公的故事,13,,9.2
放牛班的春天,14,,9.2
大话西游之大圣娶亲,15,,9.2
教父,16,,9.2
龙猫,17,,9.1
楚门的世界,18,,9.1
熔炉,19,,9.2
乱世佳人,20,,9.2
触不可及,21,,9.1
星际穿越,22,,9.2
无间道,23,,9.0
当幸福来敲门,24,,8.9
天堂电影院,25,,9.1
怦然心动,26,,8.9
十二怒汉,27,,9.4
搏击俱乐部,28,,9.0
少年派的奇幻漂流,29,,9.0
指环王3：王者无敌,30,,9.1
鬼子来了,31,,9.2
蝙蝠侠：黑暗骑士,32,,9.0
活着,33,,9.1
天空之城,34,,9.0
罗马假日,35,,8.9
大话西游之月光宝盒,36,,8.9
飞屋环游记,37,,8.9
两杆大烟枪,38,,9.1
窃听风暴,39,,9.1
疯狂动物城,40,,9.2
飞越疯人院,41,,9.0
控方证人,42,,9.6
闻香识女人,43,,8.9
海豚湾,44,,9.3
哈尔的移动城堡,45,,8.9
V字仇杀队,46,,8.8
辩护人,47,,9.1
教父2,48,,9.1
死亡诗社,49,,8.9
美丽心灵,50,,8.9
指环王2：双塔奇兵,51,,9.0
指环王1：魔戒再现,52,,8.9
情书,53,,8.8
饮食男女,54,,9.1
美国往事,55,,9.1
天使爱美丽,56,,8.7
狮子王,57,,8.9
钢琴家,58,,9.0
七宗罪,59,,8.7
被嫌弃的松子的一生,60,,8.9
小鞋子,61,,9.2
致命魔术,62,,8.8
素媛,63,,9.1
勇敢的心,64,,8.8
音乐之声,65,,8.9
摔跤吧！爸爸,66,,9.1
剪刀手爱德华,67,,8.7
本杰明·巴顿奇事,68,,8.7
低俗小说,69,,8.8
西西里的美丽传说,70,,8.7
黑客帝国,71,,8.8
拯救大兵瑞恩,72,,8.9
沉默的羔羊,73,,8.7
看不见的客人,74,,8.8
